Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
160,0.0149,0.0162,0.4900,0.5459,0.5081,1.7738,1.6051,1.7392,1.7050,1.7593
161,0.0190,0.0182,0.5171,0.4911,0.5669,1.6505,1.8826,1.8089,1.8933,1.6799
162,0.0129,0.0164,0.5137,0.5369,0.5296,2.0057,1.9264,1.6242,1.9174,1.6484
163,0.0127,0.0109,0.5256,0.5106,0.4997,1.6363,2.1748,1.7294,1.7474,1.7440
164,0.0153,0.0176,0.4630,0.5360,0.5336,1.8443,1.7476,1.8545,1.5948,1.7225
165,0.0134,0.0160,0.4794,0.4646,0.5378,1.7449,1.8257,1.7154,1.6878,1.8190
166,0.0080,0.0149,0.5344,0.4758,0.4956,1.7609,1.7175,1.8545,1.7847,1.7905
167,0.0136,0.0134,0.5387,0.4466,0.4697,1.7618,1.6628,1.6541,1.7648,1.7555
168,0.0175,0.0118,0.5007,0.5006,0.5312,1.9337,2.0809,1.8781,1.6296,1.8835
169,0.0159,0.0161,0.5266,0.5066,0.5182,1.8109,2.0645,1.8497,1.7502,1.7331
170,0.0111,0.0096,0.4618,0.4684,0.5530,1.7079,1.7737,1.8648,1.9690,1.8087
171,0.0120,0.0103,0.5004,0.5083,0.5618,1.8247,1.9296,1.7922,1.8389,1.6797
172,0.0116,0.0097,0.5092,0.5239,0.6065,1.6773,1.8926,2.0301,1.9980,1.9422
173,0.0166,0.0176,0.5101,0.4611,0.4700,1.8643,1.9794,1.8088,1.8151,1.7717
174,0.0099,0.0101,0.5041,0.5076,0.4873,1.8813,1.6622,1.7982,1.8700,1.8758
175,0.0142,0.0117,0.4590,0.4788,0.5013,1.9857,2.0455,1.8461,1.7853,1.9683
176,0.0135,0.0102,0.4148,0.4876,0.5301,1.6740,2.1463,1.7480,1.8103,1.7291
177,0.0169,0.0131,0.5001,0.4120,0.4931,1.8170,1.5689,1.8217,1.9586,1.8464
178,0.0108,0.0122,0.5068,0.4945,0.4984,1.9827,2.2438,1.9079,1.5341,1.7428
179,0.0116,0.0161,0.4538,0.4346,0.5193,1.8415,1.9641,1.6919,1.8726,1.6116
180,0.0142,0.0131,0.4827,0.4913,0.4747,1.8194,1.9677,1.8707,1.8798,1.8755
181,0.0149,0.0149,0.5092,0.5137,0.4648,1.8589,1.9843,1.6853,1.9400,1.8340
182,0.0107,0.0119,0.5025,0.4803,0.4896,1.8495,1.9879,1.8187,1.7348,1.6686
183,0.0124,0.0105,0.4685,0.4505,0.4994,1.8209,1.8859,1.7375,1.8815,1.7163
184,0.0114,0.0178,0.4887,0.4461,0.4426,1.8857,1.7352,1.7357,1.8119,1.8323
185,0.0115,0.0131,0.4968,0.4787,0.4590,1.7594,2.1289,1.7052,1.8778,1.6308
186,0.0306,0.0111,0.5873,0.4721,0.5295,1.7906,2.0519,1.7850,1.6043,1.8103
187,0.0282,0.0151,0.4705,0.5219,0.4684,2.0298,1.8741,1.6168,1.8033,1.8305
188,0.0093,0.0178,0.5105,0.4386,0.4812,1.8884,2.0548,2.0640,1.8833,1.7341
189,0.0107,0.0175,0.4756,0.4961,0.5020,1.6913,1.7196,1.6981,1.8259,1.8002
190,0.0120,0.0108,0.4779,0.4357,0.5148,1.8063,1.9006,1.8521,1.8893,1.9472
191,0.0128,0.0131,0.5005,0.4553,0.5301,1.7984,1.9735,1.8220,1.7492,1.6653
192,0.0103,0.0115,0.5342,0.5004,0.4504,1.9656,2.0501,2.0298,1.7852,1.8231
193,0.0137,0.0151,0.4892,0.4601,0.4515,1.8092,2.1257,1.8714,1.7677,1.8170
194,0.0074,0.0120,0.4919,0.4743,0.5071,1.7272,1.8968,1.8593,2.0048,2.0291
195,0.0108,0.0069,0.5053,0.5786,0.5402,2.0244,1.6530,1.5067,1.9891,1.8617
196,0.0080,0.0123,0.5739,0.5448,0.5224,1.9007,1.8490,1.8261,1.7038,1.6416
197,0.0146,0.0092,0.4815,0.4551,0.5708,1.9096,1.9902,2.1125,1.7881,2.0317
198,0.0122,0.0124,0.5119,0.4625,0.4859,1.7527,1.9594,1.6881,1.7976,2.0088
199,0.0139,0.0131,0.5016,0.4646,0.4547,1.8439,1.8235,2.0118,1.9604,1.9187
200,0.0197,0.0123,0.5026,0.4904,0.4930,1.8258,1.8782,1.7338,1.6605,1.7703
